# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 21ulv
# CHANNEL = B+R
# EXPNUM = 21_214_009
# MJD-OBS = 59428.270110
# DATE-OBS = 2021-08-02T06:29:55
# EXPTIME = 2700.0s
# AIRMASS = 1.22
# RA = 14:15:42.24
# DEC = 26:37:45.04
# wl fl err
# [A] [erg/s/cm2/A]
5067.860000 2.083071e-16 1.480997e-17
5070.860000 2.080891e-16 nan
5073.860000 2.125356e-16 nan
5076.860000 2.081243e-16 nan
5079.860000 2.074069e-16 nan
5082.860000 1.998008e-16 nan
5085.860000 2.024600e-16 nan
5088.860000 1.999847e-16 nan
5091.860000 1.926386e-16 nan
5094.860000 1.927033e-16 nan
5097.860000 1.754517e-16 nan
5100.860000 1.761484e-16 nan
5103.860000 2.131362e-16 nan
5106.860000 2.269499e-16 nan
5109.860000 2.125456e-16 nan
5112.860000 2.122360e-16 nan
5115.860000 2.173757e-16 nan
5118.860000 2.238617e-16 nan
5121.860000 2.637791e-16 nan
5124.860000 2.130346e-16 nan
5127.860000 2.326043e-16 nan
5130.860000 2.340644e-16 nan
5133.860000 2.405040e-16 nan
5136.860000 2.094151e-16 nan
5139.860000 1.844375e-16 nan
5142.860000 1.687889e-16 nan
5145.860000 1.640481e-16 nan
5148.860000 1.977655e-16 nan
5151.860000 2.751707e-16 nan
5154.860000 2.476311e-16 nan
5157.860000 1.797565e-16 nan
5160.860000 1.673372e-16 nan
5163.860000 1.998363e-16 nan
5166.860000 2.243006e-16 nan
5169.860000 1.915919e-16 nan
5172.860000 1.628704e-16 1.542954e-17
5175.860000 1.650396e-16 1.455100e-17
5178.860000 1.725197e-16 1.405028e-17
